ID,Category,Image_ID,Equation,Solution_Steps,Sign_Language,Sign_Text,Sign_Translation,Anomaly_Type,Anomaly_Score,Timestamp,Camera_ID,Confidence_Score,Bounding_Box_X,Bounding_Box_Y,Bounding_Box_Width,Bounding_Box_Height,Blur_Level,Brightness_Level,Contrast_Level,Noise_Level,Label
1,Handwritten Math Solutions,IMG_4409,Σ(n=1 to ∞) 1/n^2,8.0,,,,,,2024-01-01 00:00:00,,0.91,8,230,148,142,0.847946953216027,0.526015546293456,0.15628972861488044,0.7040456595972313,Incorrect
2,Security Camera Anomalies,IMG_1098,,,,,,Loitering,0.11,2024-01-01 00:01:00,19.0,0.99,56,426,145,104,0.6945964194029696,0.8898778525363531,0.21432794201651362,0.19388932979427265,Uncertain
3,Multi-lingual Street Signs,IMG_4901,,,Spanish,Yield,Alto,,,2024-01-01 00:02:00,,0.96,185,472,184,163,0.32832380995994825,0.5824235412976265,0.6527093757725178,0.2834421267316358,Uncertain
4,Multi-lingual Street Signs,IMG_6509,,,English,No Entry,Alto,,,2024-01-01 00:03:00,,0.74,137,393,109,193,0.39197483019753077,0.09084618787436005,0.9058704388106277,0.9603697294898141,Uncertain
5,Handwritten Math Solutions,IMG_9244,x^2 + y^2 = 25,6.0,,,,,,2024-01-01 00:04:00,,0.54,405,243,155,60,0.350489300067524,0.708919309602921,0.8996507992444605,0.6198467782584725,Uncertain
6,Security Camera Anomalies,IMG_5486,,,,,,Unauthorized Access,0.83,2024-01-01 00:05:00,42.0,0.51,169,295,109,151,0.8967376332169924,0.869972351905404,0.22182332645134983,0.8475479778587459,Correct
7,Multi-lingual Street Signs,IMG_4155,,,Chinese,No Entry,禁止进入,,,2024-01-01 00:06:00,,0.69,247,163,68,199,0.3797587678805481,0.4430084924587282,0.847675815129603,0.7738626588133102,Correct
8,Handwritten Math Solutions,IMG_6918,Σ(n=1 to ∞) 1/n^2,8.0,,,,,,2024-01-01 00:07:00,,0.65,25,390,55,79,0.7636237608547947,0.0434236291804001,0.7157645316102185,0.5919638431528946,Incorrect
9,Security Camera Anomalies,IMG_7669,,,,,,Loitering,0.65,2024-01-01 00:08:00,18.0,0.92,132,368,184,160,0.40280311863048757,0.7327740018007599,0.2755304489059077,0.7228568412432821,Incorrect
10,Security Camera Anomalies,IMG_1747,,,,,,Loitering,0.94,2024-01-01 00:09:00,35.0,0.99,86,247,52,56,0.5435983977770361,0.2404422365514267,0.026359150354493877,0.9149351075614558,Correct
11,Security Camera Anomalies,IMG_6258,,,,,,Unauthorized Access,0.21,2024-01-01 00:10:00,24.0,0.74,36,39,57,112,0.17980708901392473,0.5479084580009235,0.9564999804598632,0.17602390121364853,Correct
12,Multi-lingual Street Signs,IMG_8397,,,English,Stop,Cédez le passage,,,2024-01-01 00:11:00,,0.64,177,216,67,106,0.44668311466577315,0.9145846757536452,0.10664431740118108,0.8367468271548513,Uncertain
13,Multi-lingual Street Signs,IMG_3415,,,Chinese,No Entry,Limite de velocidad 50,,,2024-01-01 00:12:00,,0.92,391,216,162,76,0.2896276088054869,0.7789628851937945,0.9014109938644462,0.44493328495179496,Incorrect
14,Handwritten Math Solutions,IMG_8143,x^2 + y^2 = 25,2.0,,,,,,2024-01-01 00:13:00,,0.81,475,52,80,62,0.28785273104891085,0.9656893458569444,0.04609815756759994,0.264445548301107,Uncertain
15,Handwritten Math Solutions,IMG_9717,Σ(n=1 to ∞) 1/n^2,6.0,,,,,,2024-01-01 00:14:00,,0.79,119,411,94,95,0.5635658751730499,0.4304056111309329,0.22772695290085143,0.09226824736117356,Uncertain
16,Multi-lingual Street Signs,IMG_7909,,,French,No Entry,Alto,,,2024-01-01 00:15:00,,0.57,251,126,195,193,0.8104156096006648,0.9427795241277904,0.6414654177026943,0.1702944542257424,Correct
17,Multi-lingual Street Signs,IMG_9534,,,English,Stop,禁止进入,,,2024-01-01 00:16:00,,0.79,257,130,58,126,0.6831660751425228,0.32426208200771245,0.44889685228511755,0.25292603312880113,Incorrect
18,Multi-lingual Street Signs,IMG_8234,,,English,Speed Limit 50,Limite de velocidad 50,,,2024-01-01 00:17:00,,1.0,81,122,51,108,0.41606207269414675,0.735991022577961,0.7544770869084876,0.8115165535239026,Incorrect
19,Handwritten Math Solutions,IMG_1480,x^2 + y^2 = 25,10.0,,,,,,2024-01-01 00:18:00,,0.65,238,164,93,163,0.3925324927398751,0.8106832342711177,0.625999563106611,0.3289226939588282,Correct
